#SampleID	Dataset	FullName	Acronyme	Season	Site	Condition	Replicat
APR-COP-SED-1	1	APR-COP-SED-1	APR-COP-SED-1	APR	COP	SED	1
APR-COP-SED-2	2	APR-COP-SED-2	APR-COP-SED-2	APR	COP	SED	2
APR-COP-SED-3	3	APR-COP-SED-3	APR-COP-SED-3	APR	COP	SED	3
APR-COP-WAT-1	4	APR-COP-WAT-1	APR-COP-WAT-1	APR	COP	WAT	1
APR-COP-WAT-2	5	APR-COP-WAT-2	APR-COP-WAT-2	APR	COP	WAT	2
APR-COP-WAT-3	6	APR-COP-WAT-3	APR-COP-WAT-3	APR	COP	WAT	3
APR-LIV-SED-1	7	APR-LIV-SED-1	APR-LIV-SED-1	APR	LIV	SED	1
APR-LIV-SED-2	8	APR-LIV-SED-2	APR-LIV-SED-2	APR	LIV	SED	2
APR-LIV-SED-3	9	APR-LIV-SED-3	APR-LIV-SED-3	APR	LIV	SED	3
APR-LIV-WAT-1	10	APR-LIV-WAT-1	APR-LIV-WAT-1	APR	LIV	WAT	1
APR-LIV-WAT-2	11	APR-LIV-WAT-2	APR-LIV-WAT-2	APR	LIV	WAT	2
APR-LIV-WAT-3	12	APR-LIV-WAT-3	APR-LIV-WAT-3	APR	LIV	WAT	3
APR-TOB-SED-1	13	APR-TOB-SED-1	APR-TOB-SED-1	APR	TOB	SED	1
APR-TOB-SED-2	14	APR-TOB-SED-2	APR-TOB-SED-2	APR	TOB	SED	2
APR-TOB-SED-3	15	APR-TOB-SED-3	APR-TOB-SED-3	APR	TOB	SED	3
APR-TOB-WAT-1	16	APR-TOB-WAT-1	APR-TOB-WAT-1	APR	TOB	WAT	1
APR-TOB-WAT-2	17	APR-TOB-WAT-2	APR-TOB-WAT-2	APR	TOB	WAT	2
APR-TOB-WAT-3	18	APR-TOB-WAT-3	APR-TOB-WAT-3	APR	TOB	WAT	3
AUG-COP-SED-1	19	AUG-COP-SED-1	AUG-COP-SED-1	AUG	COP	SED	1
AUG-COP-SED-2	20	AUG-COP-SED-2	AUG-COP-SED-2	AUG	COP	SED	2
AUG-COP-SED-3	21	AUG-COP-SED-3	AUG-COP-SED-3	AUG	COP	SED	3
AUG-COP-WAT-1	22	AUG-COP-WAT-1	AUG-COP-WAT-1	AUG	COP	WAT	1
AUG-COP-WAT-2	23	AUG-COP-WAT-2	AUG-COP-WAT-2	AUG	COP	WAT	2
AUG-COP-WAT-3	24	AUG-COP-WAT-3	AUG-COP-WAT-3	AUG	COP	WAT	3
AUG-LIV-SED-1	25	AUG-LIV-SED-1	AUG-LIV-SED-1	AUG	LIV	SED	1
AUG-LIV-SED-2	26	AUG-LIV-SED-2	AUG-LIV-SED-2	AUG	LIV	SED	2
AUG-LIV-SED-3	27	AUG-LIV-SED-3	AUG-LIV-SED-3	AUG	LIV	SED	3
AUG-LIV-WAT-1	28	AUG-LIV-WAT-1	AUG-LIV-WAT-1	AUG	LIV	WAT	1
AUG-LIV-WAT-2	29	AUG-LIV-WAT-2	AUG-LIV-WAT-2	AUG	LIV	WAT	2
AUG-LIV-WAT-3	30	AUG-LIV-WAT-3	AUG-LIV-WAT-3	AUG	LIV	WAT	3
AUG-TOB-SED-1	31	AUG-TOB-SED-1	AUG-TOB-SED-1	AUG	TOB	SED	1
AUG-TOB-SED-2	32	AUG-TOB-SED-2	AUG-TOB-SED-2	AUG	TOB	SED	2
AUG-TOB-SED-3	33	AUG-TOB-SED-3	AUG-TOB-SED-3	AUG	TOB	SED	3
AUG-TOB-WAT-1	34	AUG-TOB-WAT-1	AUG-TOB-WAT-1	AUG	TOB	WAT	1
AUG-TOB-WAT-2	35	AUG-TOB-WAT-2	AUG-TOB-WAT-2	AUG	TOB	WAT	2
AUG-TOB-WAT-3	36	AUG-TOB-WAT-3	AUG-TOB-WAT-3	AUG	TOB	WAT	3
DEC-COP-SED-1	37	DEC-COP-SED-1	DEC-COP-SED-1	DEC	COP	SED	1
DEC-COP-SED-2	38	DEC-COP-SED-2	DEC-COP-SED-2	DEC	COP	SED	2
DEC-COP-SED-3	39	DEC-COP-SED-3	DEC-COP-SED-3	DEC	COP	SED	3
DEC-COP-WAT-1	40	DEC-COP-WAT-1	DEC-COP-WAT-1	DEC	COP	WAT	1
DEC-COP-WAT-2	41	DEC-COP-WAT-2	DEC-COP-WAT-2	DEC	COP	WAT	2
DEC-COP-WAT-3	42	DEC-COP-WAT-3	DEC-COP-WAT-3	DEC	COP	WAT	3
DEC-LIV-SED-1	43	DEC-LIV-SED-1	DEC-LIV-SED-1	DEC	LIV	SED	1
DEC-LIV-SED-2	44	DEC-LIV-SED-2	DEC-LIV-SED-2	DEC	LIV	SED	2
DEC-LIV-SED-3	45	DEC-LIV-SED-3	DEC-LIV-SED-3	DEC	LIV	SED	3
DEC-LIV-WAT-1	46	DEC-LIV-WAT-1	DEC-LIV-WAT-1	DEC	LIV	WAT	1
DEC-LIV-WAT-2	47	DEC-LIV-WAT-2	DEC-LIV-WAT-2	DEC	LIV	WAT	2
DEC-LIV-WAT-3	48	DEC-LIV-WAT-3	DEC-LIV-WAT-3	DEC	LIV	WAT	3
DEC-TOB-SED-1	49	DEC-TOB-SED-1	DEC-TOB-SED-1	DEC	TOB	SED	1
DEC-TOB-SED-2	50	DEC-TOB-SED-2	DEC-TOB-SED-2	DEC	TOB	SED	2
DEC-TOB-SED-3	51	DEC-TOB-SED-3	DEC-TOB-SED-3	DEC	TOB	SED	3
DEC-TOB-WAT-1	52	DEC-TOB-WAT-1	DEC-TOB-WAT-1	DEC	TOB	WAT	1
DEC-TOB-WAT-2	53	DEC-TOB-WAT-2	DEC-TOB-WAT-2	DEC	TOB	WAT	2
DEC-TOB-WAT-3	54	DEC-TOB-WAT-3	DEC-TOB-WAT-3	DEC	TOB	WAT	3
FEB-COP-SED-1	55	FEB-COP-SED-1	FEB-COP-SED-1	FEB	COP	SED	1
FEB-COP-SED-2	56	FEB-COP-SED-2	FEB-COP-SED-2	FEB	COP	SED	2
FEB-COP-SED-3		FEB-COP-SED-3	FEB-COP-SED-3	FEB	COP	SED	3
FEB-COP-WAT-1		FEB-COP-WAT-1	FEB-COP-WAT-1	FEB	COP	WAT	1
FEB-COP-WAT-2		FEB-COP-WAT-2	FEB-COP-WAT-2	FEB	COP	WAT	2
FEB-COP-WAT-3		FEB-COP-WAT-3	FEB-COP-WAT-3	FEB	COP	WAT	3
FEB-LIV-SED-1		FEB-LIV-SED-1	FEB-LIV-SED-1	FEB	LIV	SED	1
FEB-LIV-SED-2		FEB-LIV-SED-2	FEB-LIV-SED-2	FEB	LIV	SED	2
FEB-LIV-SED-3		FEB-LIV-SED-3	FEB-LIV-SED-3	FEB	LIV	SED	3
FEB-LIV-WAT-1		FEB-LIV-WAT-1	FEB-LIV-WAT-1	FEB	LIV	WAT	1
FEB-LIV-WAT-2		FEB-LIV-WAT-2	FEB-LIV-WAT-2	FEB	LIV	WAT	2
FEB-LIV-WAT-3		FEB-LIV-WAT-3	FEB-LIV-WAT-3	FEB	LIV	WAT	3
FEB-TOB-SED-1		FEB-TOB-SED-1	FEB-TOB-SED-1	FEB	TOB	SED	1
FEB-TOB-SED-2		FEB-TOB-SED-2	FEB-TOB-SED-2	FEB	TOB	SED	2
FEB-TOB-SED-3		FEB-TOB-SED-3	FEB-TOB-SED-3	FEB	TOB	SED	3
